NAME,PARTY,TOTAL VOTES,STATE,GENDER
SOYAM BAPU RAO,BJP,377374,Telangana,MALE
Satyapal Singh Baghel,BJP,646875,Uttar Pradesh,MALE
Dr. SUJAY RADHAKRISHNA VIKHEPATIL,BJP,704660,Maharashtra,MALE
Patel Hasmukhbhai Somabhai,BJP,749834,Gujarat,MALE
DR. KIRIT P. SOLANKI,BJP,641622,Gujarat,MALE
Bhagirath Chaudhary,BJP,815076,Rajasthan,MALE
Devendra Singh 'Bhole',BJP,581282,Uttar Pradesh,MALE
Dhotre Sanjay Shamrao,BJP,554444,Maharashtra,MALE
Adv. A M ARIFF,CPI(M),445970,Kerala,MALE
RAMYA HARIDAS,INC,533815,Kerala,FEMALE
SATISH KUMAR GAUTAM,BJP,656215,Uttar Pradesh,MALE
JOHN BARLA,BJP,750804,West Bengal,MALE
Rita Bahuguna Joshi,BJP,494454,Uttar Pradesh,FEMALE
Ajay Tamta,BJP,444651,Uttarakhand,MALE
Balak Nath,BJP,760201,Rajasthan,MALE
CHINTA ANURADHA,YSRCP,485958,Andhra Pradesh,FEMALE
RATTAN LAL KATARIA,BJP,746508,Haryana,MALE
Ritesh Pandey,BSP,564118,Uttar Pradesh,MALE
Smriti Irani,BJP,468514,Uttar Pradesh,FEMALE
Navnit Ravi Rana,IND,510947,Maharashtra,FEMALE
Kachhadiya Naranbhai Bhikhabhai,BJP,529035,Gujarat,MALE
GURJEET SINGH AUJLA,INC,445032,Punjab,MALE
KUNWAR DANISH ALI,BSP,601082,Uttar Pradesh,MALE
Dr.Beesetti Venkata Satyavathi,YSRCP,586226,Andhra Pradesh,FEMALE
PATEL MITESH RAMESHBHAI (BAKABHAI),BJP,633097,Gujarat,MALE
Manish Tewari,INC,428045,Punjab,MALE
TALARI RANGAIAH,YSRCP,695208,Andhra Pradesh,MALE
HASNAIN MASOODI,JKN,40180,Jammu & Kashmir,MALE
KULDEEP RAI SHARMA,INC,95308,Andaman & Nicobar Islands,MALE
DHARMENDRA KASHYAP,BJP,537675,Uttar Pradesh,MALE
S. JAGATHRAKSHAKAN,DMK,672190,Tamil Nadu,MALE
APARUPA PODDAR (AFRIN ALI),AITC,649929,West Bengal,FEMALE
VISHNU PRASAD M K,INC,617760,Tamil Nadu,MALE
PRADEEP KUMAR SINGH,BJP,618434,Bihar,MALE
R. K. Singh,BJP,566480,Bihar,MALE
GODDETI. MADHAVI,YSRCP,562190,Andhra Pradesh,FEMALE
Tapir Gao,BJP,153883,Arunachal Pradesh,MALE
KIREN RIJIJU,BJP,225796,Arunachal Pradesh,MALE
BABUL SUPRIYO,BJP,633378,West Bengal,MALE
Pramila Bisoyi,BJD,552749,Odisha,FEMALE
Adv. ADOOR PRAKASH,INC,380995,Kerala,MALE
SUSHIL KUMAR SINGH,BJP,427721,Bihar,MALE
Imtiaz Jaleel Syed,AIMIM,389042,Maharashtra,MALE
NARESH YADAV,BSP,33772,Bihar,MALE
HOREN SING BEY,BJP,381316,Assam,MALE
Akhilesh Yadav,SP,621578,Uttar Pradesh,MALE
Gaddigoudar Parvatagouda Chandanagouda,BJP,664638,Karnataka,MALE
Dr. SATYAPAL SINGH,BJP,525789,Uttar Pradesh,MALE
ADHIR RANJAN CHOWDHURY,INC,591106,West Bengal,MALE
AKSHAIBAR LAL,BJP,525982,Uttar Pradesh,MALE
DR DHAL SINGH BISEN,BJP,696102,Madhya Pradesh,MALE
PRATAP CHANDRA SARANGI,BJP,483858,Odisha,MALE
Virendra Singh,BJP,469114,Uttar Pradesh,MALE
Sukanta Majumdar,BJP,539317,West Bengal,MALE
PARBATBHAI SAVABHAI PATEL,BJP,679108,Gujarat,MALE
R.K. SINGH PATEL,BJP,477926,Uttar Pradesh,MALE
P. C. Mohan,BJP,602853,Karnataka,MALE
D.V. Sadananda Gowda,BJP,824500,Karnataka,MALE
D.K. SURESH,INC,878258,Karnataka,MALE
TEJASVI SURYA,BJP,739229,Karnataka,MALE
SHANTANU THAKUR,BJP,687622,West Bengal,MALE
GIRIDHARI YADAV,JD(U),477788,Bihar,MALE
DR. SUBHAS SARKAR,BJP,675319,West Bengal,MALE
Kamlesh Paswan,BJP,546673,Uttar Pradesh,MALE
KANAKMAL KATARA,BJP,711709,Rajasthan,MALE
NANDIGAM SURESH,YSRCP,598257,Andhra Pradesh,MALE
Upendra Singh Rawat,BJP,535917,Uttar Pradesh,MALE
Supriya Sule,NCP,686714,Maharashtra,FEMALE
MOHAMMAD AKBAR LONE,JKN,133426,Jammu & Kashmir,MALE
Dr. Kakoli Ghoshdastidar,AITC,648444,West Bengal,FEMALE
S.S AHLUWALIA,BJP,598376,West Bengal,MALE
SUNIL KUMAR MONDAL,AITC,640834,West Bengal,MALE
PARBHUBHAI NAGARBHAI VASAVA,BJP,742273,Gujarat,MALE
SANTOSH KUMAR GANGWAR,BJP,565270,Uttar Pradesh,MALE
Suresh Pujari,BJP,581245,Odisha,MALE
KAILASH CHOUDHARY,BJP,846526,Rajasthan,MALE
Abdul Khaleque,INC,645173,Assam,MALE
ARJUN SINGH,BJP,472994,West Bengal,MALE
Nusrat Jahan Ruhi,AITC,782078,West Bengal,FEMALE
DEEPAK BAIJ,INC,402527,Chhattisgarh,MALE
HARISH CHANDRA ALIAS HARISH DWIVEDI,BJP,471162,Uttar Pradesh,MALE
Harsimrat Kaur Badal,SAD,492824,Punjab,FEMALE
Pritam Gopinathrao Munde,BJP,678175,Maharashtra,FEMALE
Giriraj Singh,BJP,692193,Bihar,MALE
ANGADI SURESH CHANNABASAPPA,BJP,761991,Karnataka,MALE
Y. DEVENDRAPPA,BJP,616388,Karnataka,MALE
CHANDRA SEKHAR SAHU,BJD,443843,Odisha,MALE
DURGA DAS (D.D.) UIKEY,BJP,811248,Madhya Pradesh,MALE
RAMESH CHAND,BJP,510029,Uttar Pradesh,MALE
MANJULATA MANDAL,BJD,513045,Odisha,FEMALE
AJAY KUMAR MANDAL,JD(U),618254,Bihar,MALE
Sunil Baburao Mendhe,BJP,650243,Maharashtra,MALE
RANJEETA KOLI,BJP,707992,Rajasthan,FEMALE
Mansukhbhai Dhanjibhai Vasava,BJP,637795,Gujarat,MALE
DR.BHARATIBEN DHIRUBHAI SHIYAL,BJP,661273,Gujarat,FEMALE
SUBHASH CHANDRA BAHERIA,BJP,938160,Rajasthan,MALE
SANDHYA RAY,BJP,527694,Madhya Pradesh,FEMALE
KAPIL MORESHWAR PATIL,BJP,523583,Maharashtra,MALE
Dharambir Singh S/o Bhale Ram,BJP,736699,Haryana,MALE
Komati Reddy Venkat Reddy,INC,532795,Telangana,MALE
SADHVI PRAGYA SINGH THAKUR,BJP,866482,Madhya Pradesh,FEMALE
APARAJITA SARANGI,BJP,486991,Odisha,FEMALE
BHAGWANTH KHUBA,BJP,585471,Karnataka,MALE
JIGAJINAGI RAMESH CHANDAPPA,BJP,635867,Karnataka,MALE
MALOOK NAGAR,BSP,561045,Uttar Pradesh,MALE
ARJUN RAM MEGHWAL,BJP,657743,Rajasthan,MALE
ARUN SAO,BJP,634559,Chhattisgarh,MALE
SATABDI ROY,AITC,654077,West Bengal,FEMALE
KHAN SAUMITRA,BJP,657019,West Bengal,MALE
Sangeeta Kumari Singh Deo,BJP,498086,Odisha,FEMALE
ASIT KUMAR MAL,AITC,699171,West Bengal,MALE
BHOLA SINGH,BJP,681321,Uttar Pradesh,MALE
Jadhav Prataprao Ganpatrao,SHS,521977,Maharashtra,MALE
Ashwini Kumar Choubey,BJP,473053,Bihar,MALE
BENNY BEHANAN,INC,473444,Kerala,MALE
V. SRINIVAS PRASAD,BJP,568537,Karnataka,MALE
Dr. Mahendra Nath Pandey,BJP,510733,Uttar Pradesh,MALE
KIRRON KHER,BJP,231188,Chandigarh,FEMALE
HARSH VARDHAN,BJP,519055,NCT OF Delhi,MALE
Balubhau alias Suresh Narayan Dhanorkar,INC,559507,Maharashtra,MALE
SUNIL KUMAR SINGH,BJP,528077,Jharkhand,MALE
